,Classifier Name,Accuracy,F1 Score,Precision,Recall
0,Gini max_depth:3,0.9385964912280702,0.9176470588235294,0.9365079365079365,0.9323616115296429
1,Gini max_depth:7,0.9473684210526315,0.9302325581395349,0.9439895185063871,0.9439895185063871
2,Entropy max_depth:3,0.9649122807017544,0.951219512195122,0.9733333333333334,0.9534883720930232
3,Entropy max_depth:7,0.9649122807017544,0.951219512195122,0.9733333333333334,0.9534883720930232
4,KNN,0.9824561403508771,0.9761904761904763,0.9863013698630136,0.9767441860465116
5,Logistic Regression,0.9649122807017544,0.9523809523809524,0.9672569328433009,0.9580740255486406
6,SVM,0.9649122807017544,0.9523809523809524,0.9672569328433009,0.9580740255486406
