,Classifier Name,Accuracy,F1 Score,Precision,Recall
0,Gini max_depth:3,0.9758241758241758,0.9669669669669669,0.9771079540692313,0.9710866057019902
1,Gini max_depth:7,0.9978021978021978,0.9970326409495549,0.9982578397212544,0.9970414201183432
2,Entropy max_depth:3,0.9758241758241758,0.9669669669669669,0.9771079540692313,0.9710866057019902
3,Entropy max_depth:7,0.9758241758241758,0.9669669669669669,0.9771079540692313,0.9710866057019902
4,KNN,0.9318681318681319,0.9046153846153846,0.9343645484949833,0.9191769768692846
5,Logistic Regression,0.9560439560439561,0.9401197604790419,0.955067920585162,0.9505110274341043
6,SVM,0.9648351648351648,0.9523809523809524,0.9634169161676647,0.9611350188273264
